timestamp_s,smooth_ear,system_state,ground_truth,alarm_fired
0.027,,OPEN,UNKNOWN,0
0.574,0.228,OPEN,UNKNOWN,0
1.079,0.2512,OPEN,UNKNOWN,0
1.599,0.2729,OPEN,UNKNOWN,0
2.131,0.29,OPEN,UNKNOWN,0
2.641,0.2234,OPEN,UNKNOWN,0
3.174,0.1557,OPEN,UNKNOWN,0
3.677,0.1833,OPEN,UNKNOWN,0
4.177,0.1778,OPEN,OPEN,0
4.694,0.1945,DROWSY,OPEN,0
5.195,0.3069,OPEN,OPEN,0
5.696,0.3062,OPEN,OPEN,0
6.197,0.234,OPEN,OPEN,0
6.698,0.1757,OPEN,OPEN,0
7.202,0.1593,OPEN,CLOSED,0
7.745,0.1449,OPEN,CLOSED,0
8.264,0.1458,DROWSY,CLOSED,0
8.798,0.1336,DROWSY,CLOSED,0
9.331,0.1309,DROWSY,CLOSED,0
9.832,0.1265,DROWSY,CLOSED,0
10.335,0.1269,DROWSY,CLOSED,0
10.866,0.1349,DROWSY,CLOSED,0
11.366,0.1395,DROWSY,CLOSED,0
11.867,0.1315,DROWSY,CLOSED,0
12.367,0.1042,DROWSY,CLOSED,0
12.868,0.1321,DROWSY,CLOSED,0
13.371,0.1459,DROWSY,CLOSED,0
13.873,0.1305,DROWSY,CLOSED,0
14.382,0.2651,OPEN,OPEN,0
14.906,0.2771,OPEN,OPEN,0
15.41,0.2576,OPEN,OPEN,0
15.935,0.195,OPEN,OPEN,0
16.436,0.221,OPEN,OPEN,0
16.936,0.2557,OPEN,OPEN,0
17.437,0.3385,OPEN,OPEN,0
17.937,0.2043,OPEN,OPEN,0
18.442,0.2971,OPEN,OPEN,0
18.944,0.2887,OPEN,OPEN,0
19.473,0.2875,OPEN,OPEN,0
19.987,0.305,OPEN,OPEN,0
20.514,0.2469,OPEN,OPEN,0
21.014,0.3019,OPEN,OPEN,0
21.519,0.3212,OPEN,OPEN,0
22.049,0.3276,OPEN,OPEN,0
22.549,0.2755,OPEN,OPEN,0
23.084,0.2509,OPEN,OPEN,0
23.589,0.2762,OPEN,OPEN,0
24.116,0.3023,OPEN,OPEN,0
24.619,0.2978,OPEN,OPEN,0
25.154,0.2153,OPEN,OPEN,0
25.685,0.1974,OPEN,OPEN,0
26.19,0.2689,OPEN,OPEN,0
